STT,Tên món,Giới thiệu,Loại món,Khẩu phần,Time Cooking,Nguyên liệu,Sơ chế,Cách làm,Cách dùng,Mách nhỏ,Tags,Calories,Fat Amount,Fiber Amount,Sugar Amount,Protein Amount,Link Ảnh
368,Gỏi bạch tuộc ớt chuông,"Bạch tuộc chín giòn thấm vị, chua ngọt hài hoà với những miếng ớt chuông giòn ngọt, lại giàu chất chống oxi hoá và vitamin C. Món Gỏi bạch tuộc ớt chuông sẽ là cứu cánh của bạn trong những ngày cuối tuần sum họp hay chiêu đãi cả nhà nhé!",Món mặn,4 người,40,"Bạch tuộc     300g, Hành tây   1/2 củ, Ớt chuông xanh, đỏ, vàng 1/2 trái mỗi loại, Tỏi cắt lát    1M, Ớt sừng cắt sợi    1 trái, Mè trắng rang    2M, Gừng đập dập   1 củ nhỏ, Dầu ăn, đường, Bột ngọt AJI-NO-MOTO®, Nước tương ""Phú Sĩ"", Hạt nêm Aji-ngon® Heo, Giấm gạo lên men Ajinomoto","– Luộc bạch tuộc: cho 1 chén nước vào nồi, thêm 1M giấm gạo lên men của Ajinomoto và gừng đập dập vào, nấu sôi. Sau đó cho bạch tuộc vào luộc chín rồi xả qua nước lạnh, để ráo.   
– Hành tây, ớt chuông cắt mỏng 2 ly, ngâm 15 phút trong nước đá lạnh, vớt ra để ráo.","– Xào bạch tuộc: phi thơm tỏi, cho bạch tuộc vào xào, nêm 1m hạt nêm Aji-ngon®, xào săn bạch tuộc, để nguội.
– Nấu xốt salad: cho vào nồi nhỏ gồm 1/4m bột ngọt  AJI-NO-MOTO® với  1M đường, 3M nước tương “Phú Sĩ”, 1 chén nhỏ (80ml) giấm gạo lên men của Ajinomoto, 1/2 chén nhỏ nước (30ml ), đun sôi 2 phút, khuấy cho tan hết gia vị, để nguội.","– Trộn chung bạch tuộc, hành tây và ớt chuông với nước xốt salad, bày ra dĩa, rắc mè rang lên trên, trang trí với ớt cắt sợi. Dùng khai vị.","– Bạch tuộc luộc với nước có giấm và gừng sẽ thơm ngon hơn.  
– Xào bạch tuộc với tỏi và nêm gia vị trước để bạch tuộc được thơm và thấm gia vị.","bach tuoc, goi bach tuoc, goi bach tuoc ot chuong, goi ot chuong",404,19,5,26,26,https://monngonmoingay.com/wp-content/uploads/2018/04/goi-bach-tuoc-ot-chuong-500-min.jpg
369,Cháo lươn khoai môn đậu xanh,"Cháo lươn khoai môn đậu xanh rất ngon và lạ miệng, là món ăn giải nhiệt, trị cảm tuyệt vời trong mùa hè.",Món mặn,4 người,30,"Lươn làm sạch: 500g, Khoai môn cao: 200g, Đậu xanh giã bể còn vỏ: 50g, Gạo tấm: 100g, Nếp: 30g, Hành ngò, hành tím, Tiêu, muối, nước mắm, dầu ăn, Hạt nêm Aji-ngon® Gà","– Lươn làm sạch, rửa qua bằng giấm, rửa sạch lại, cắt khúc khoảng 10cm, cắt 2 bên sống lưng của lươn. – Khoai môn cắt khối vuộng 1cm. Đậu xanh ngâm mềm, bỏ bớt vỏ. – Hành tím băm nhỏ, một ít phi thơm, giữ lại dầu phi hành tím.","– Gạo và nếp nấu cháo với 1/2 lít nước, nêm 2M hạt nêm Aji-ngon®, và đậu xanh vào nấu, cháo nhừ bỏ thêm khoai môn cao, khi thấy cháo đặc thì cho thêm 1/2 lít nước vào. – Đun sôi 1 lít nước, cho lươn vào luộc chín với 1/2m muối, 1m hạt nêm Aji-ngon®, vớt ra gỡ lấy thịt lươn, phần xương và nước luộc lươn cho trở lại vào nồi cháo. – Trộn đều thịt lươn với hành tím vừa phi thơm và 1/2m hạt nêm Aji-ngon®, 1m nước măm, tiêu. – Vớt phần xương ra khỏi nồi cháo, sau đó cho phần thịt lươn vào, nêm 1M nước mắm, tiêu, hành ngò, hành phi, 2M dầu phi hành tím.","– Múc cháo ra tô, dùng nóng.","Chọn lươn còn sống, bụng vàng, lưng nâu, thân ngắn thịt sẽ ngon hơn.Chọn khoai môn đủ lớn, còn mới, bên trong trắng đục, vân tím sẽ có nhiều bột.","món cháo, món cháo ngon, món cháo ngon dễ nấu, Nghệ thuật nấu ăn ngon gia đình",432,14,9,29,36,https://monngonmoingay.com/wp-content/uploads/2015/08/IMG_9133-chao-luon-khoai-mon-dau-xanh.png
370,Smoothies trà sữa dâu,"Smoothie là một loại thức uống pha trộn dạng đặc, sánh sệt, được pha chế từ trái cây hoặc rau củ quả tươi cùng với đá, một ít nước, có thể có thêm các chất làm ngọt hoặc không trong máy xay sinh tố xay đến nhuyễn mịn… Một số công thức smoothie sẽ có thêm đá xay, nước ép trái cây để lạnh, mật ong, siro, các sản phẩm từ sữa, sữa chua, kem tươi hoặc các thành phần để lạnh khác.
Thành phẩm smoothie thường mang màu sắc bắt mắt, cho cảm giác uống mát lạnh nhưng không tê buốt như đồ uống kèm đá viên, vị ngọt thanh của nguyên liệu tự nhiên nên được nhiều thực khách yêu thích lựa chọn.",Món mặn,2 người,15,"Blendy trà sữa dâu		 4 gói, Sữa tươi không đường		 120g, Kem sữa tươi		 100ml 	 (lấy 50ml đánh bông, trang trí trên miệng ly), Dâu tây		 8 -12 quả, Đá viên		 80g, RAU NÊM:	Rau húng lủi, Blendy™ Trà Sữa Dâu","– Pha Blendy: Khuấy tan 4 gói Blendy với 50g nước nóng, sau đó để nguội. – Dâu tây: ngâm rửa sạch, 8-9 quả để riêng, 3 quả còn lại: 1 cắt lát, 2 quả để trang trí trên thành ly.","– Xay smoothies: Cho vào máy xay sinh tố 5 quả dâu, hỗn hợp Blendy, sữa tươi, kem sữa, đá viên, xay nhuyễn mịn.","– Đổ smoothies ra ly, trang trí thêm dâu tây và lá húng lủi, uống lạnh.","– Sử dụng đá bào hoặc đập nhuyễn đá khi xay smoothies sẽ tiết kiệm thời gian và smoothies đẹp mắt hơn. Xay dâu với các nguyên liệu khác cho thật mịn rồi mới cho đá vào xay sau cùng. – Chọn dâu tây: Chọn những quả to, màu đỏ chín mọng, không bị mềm nhũn hay bầm dập và lá còn xanh nguyên – Có thể đông đá dâu tây trước, lúc xay smoothies sẽ ngon hơn – Món ăn đi kèm: Pancake thanh long đỏ","cách pha trà sữa, sinh tố, trà sữa",405,23,7,18,14,https://monngonmoingay.com/wp-content/uploads/2021/11/Smoothies-tra-sua-dau-800.jpg
371,Lẩu ếch lá lốt,"Ngán Lẩu bò, lẩu hải sản? Cùng thử thực hiện món Lẩu Ếch Lá Lốt đậm đà, nóng hổi cho cả nhà thưởng thức đi nào! Làm cực dễ mà vị thì lại siêu hấp dẫn, vì vậy đừng quên ghi lại bí kíp ngay nha!",Món mặn,4 người,25,"Thịt ếch: 600g, Đậu hũ: 2 miếng, Măng củ tươi: 200g, Tàu hũ ky: 100g, Lá lốt: 100g, Cà chua: 3 trái, Sả: 3 cây, Hành tỏi băm: 2M, Nước nghệ tươi: 2M, Nước dùng gà: 1,5 lít, RAU NÊM: Hành lá, ngò gai, ĂN KÈM: Rau muống, hoa chuối, nấm kim châm, bún, Gia vị: Tiêu, dầu ăn, sa tế, Hạt nêm Aji-ngon® Heo, Bột ngọt AJI-NO-MOTO®, Bột canh, Giấm gạo lên men Ajinomoto","– Thịt ếch chặt miếng vừa ăn, ướp với 2M nước nghệ tươi, 1m Bột Canh, để thấm. – Tàu hũ ky cắt miếng vừa ăn, chiên vàng. Đậu hũ cắt khối vuông. – Măng cắt miếng vừa ăn, luộc kỹ, vắt ráo. Cà chua cắt múi cau. Lá lốt cắt sợi. Sả đập dập, cắt khúc.","– Xào ếch: Phi thơm hành tỏi băm, cho ếch vào xào kĩ đến khi thịt ếch săn và thấm thì cho măng vào, nêm 1m Hạt nêm Aji-ngon® (Heo), 1M nước mắm, 1m sa tế, xào măng chín mềm thì cho thêm hành lá, ngò gai vào đảo đều rồi trút ra dĩa. – Nấu nước dùng: Phi thơm hành tỏi băm và sả đập dập, cho cà chua vào xào mềm, xào cà mềm thì đổ 1,5 lít nước dùng vào đun sôi, nêm 1M Hạt nêm Aji-ngon® (Heo), 1m Bột ngọt AJI-NO-MOTO®, 1M đường, 1,5M nước mắm, 3M Giấm gạo lên men LISA®, nếm vị chua ngọt vừa ăn, tắt lửa.","– Cho nước dùng ra nồi lẩu, khi ăn cho ếch xào vào từ từ cùng lá lốt với các loại rau ăn kèm. Dùng kèm bún, chấm với nước mắm ớt.","– Xào thịt ếch trước để thịt săn chắc, thấm vị sẽ ngon hơn. – Ướp thịt ếch với Bột Canh và nước nghệ để thịt có vị đậm đà, thơm và có màu vàng đẹp.","lá lốt, lẩu ếch, món lẩu dễ làm",246,16,8,10,17,https://monngonmoingay.com/wp-content/uploads/2020/02/lau-ech-la-lot.webp
372,Chả mực bánh xe chiên giòn,"Nghe tên thì lạ, thử vị thì ngon! Món Chả Mực Bánh Xe Chiên Giòn tưởng chỉ có thế thưởng thức tại nhà hàng, nay Mẹ có thể làm dễ dàng tại gia!",Món mặn,4 người,30,"Mực lá:	150g, Củ sen:	600g, Đậu petit pois hạt (xanh):	3M, Lá mè to:	10 lá, Giò sống:	50g, Trứng gà:	1 quả, Cà rốt cắt hạt lựu:	1M, Ăn kèm : Cải mầm nhiều màu, Gia vị : Hành tỏi băm, tiêu xanh, đường, ớt sừng, đầu hành lá, dầu ăn, tương xí muội, bột bắp, Gia vị nêm sẵn Aji-Quick® Bột tẩm khô chiên giòn, Hạt nêm Aji-ngon® Heo, Xốt Mayonnaise Aji-mayo® Vị Nguyên Bản","– Mực sơ chế sạch, để ráo. – Củ sen cắt khoanh dày 4mm, để lại 1 ít cắt hạt lựu (1M), luộc chín củ sen. Đậu petit pois, cà rốt luộc chín. – Quết mực với 1M hành tỏi băm, 1m đường, 1m Hạt nêm Aji-ngon® Heo, trộn thêm 1M đầu hành băm. Trộn mực với giò sống với 2M tiêu xanh đập dập, đậu petit pois và củ sen cắt hạt lựu.","– Tạo hình viên tròn ấn dẹp miếng chả đường kính 5cm, dày 6 ly. Gắn 2 miếng củ sen 2 bên lăn qua Gia vị nêm sẵn Aji-Quick® Bột Tẩm Khô Chiên Giòn. Ấn thêm đậu petit pois và cà rốt cắt hạt lựu xen kẽ vào củ sen. – Đun nóng dầu ăn, chiên chả mực chín vàng đều, vớt ra để ráo dầu. – Lá mè quét 1 chút lòng trắng trứng, rắc 1 lớp bột bắp mỏng, sau đó chiên giòn với lửa nhẹ nhỏ, vớt ra để ráo dầu. – Pha xốt chấm: trộn đều 2M Xốt Mayonnaise Aji-mayo® và 1M tương xí muội.","– Bày chả mực bánh xe ra đĩa. Trang trí với lá mè chiên, ăn kèm xốt đã pha.","– Luộc chín đậu petit pois và củ sen trước giúp khi chiên sẽ chín đều, món ăn ngon hơn. – Gắn thêm một ít hạt đậu petit pois và cà rốt cắt hạt lựu, các củ sen tạo hình sinh động cho món ăn. – Chọn củ sen vỏ trắng, tươi, giòn, nặng tay, suông, đường kính vừa vừa (khỏang 5cm) giúp món ăn có tạo hình dẹp hơn.","chả chiên, chả mực",364,38,7,14,31,https://monngonmoingay.com/wp-content/uploads/2020/09/cha-muc-banh-xe-chien-gion-880.webp
373,Bún sườn non nấu chuối đậu,"Món bún sườn non nấu chuối đậu chín mềm thơm ngon với sự kết hợp vị ngọt của sườn non, thơm mùi lá lốt và tía tô. Khi ăn lại có vị chua nhẹ của mẻ nuôi cùng với vị béo của nước dùng và vị bùi bùi của chuối xanh và đậu hũ. Cùng Món Ngon Mỗi Ngày vào bếp thực hiện ngay công thức món mới để đổi khẩu vị cho cả nhà ngay nha!",Món mặn,4 người,50,"Bún tươi: 800g, Sườn non: 600g, Đậu hũ chiên: 2 miếng, Chuối già xanh: 3 trái, Nghệ tươi: 25g, Hành tím: 20g, Cà chua: 2 trái, Riềng: 45g, Mẻ nuôi: 4M, Mỡ heo nước: 2M, Nước dùng heo: 1,5 lít, RAU NÊM: tía tô, lá lốt, ĂN KÈM:	sà lách mềm, Gia vị:  nước mắm, mắm tôm, muối, Hạt nêm Aji-ngon® Heo, Bột ngọt AJI-NO-MOTO®","– Sườn non: chặt khúc dài 5-6cm – Chuối già xanh: tước vỏ, cắt khúc 4-5 cm sau đó cắt dọc làm 4. – Nghệ tươi: giã nhuyễn – Hành tím: thái lát – Riềng: thái chỉ – Mẻ nuôi: xay nhuyễn – Đậu hũ cắt làm 4 theo chiều ngang, tiếp theo cắt cà chua làm 4 miếng. Tía tô, lá lốt cắt sợi.","– Ướp sườn: Cho sườn vào tô sau đó cho 1/2m muối cùng 1/2m bột ngọt Ajinomoto + 1/2 lượng nước nghệ và 2M mẻ nuôi vào ướp 10-15 phút. – Nấu nước dùng: Cho 2M mỡ nước vào nồi cùng với riềng và hành tím, 1/2 nghệ còn lại vào xào thơm sau đó cho chuối vào xào săn, sau đó múc chuối ra, cho sườn đã ướp vào xào thơm, cho 1,5 lít nước dùng vào đun sôi vớt bọt, cho chuối vào lại, cùng gia vị 1.5M Hạt nêm Aji-ngon® Heo + 1M nước mắm + 1m bột ngọt Ajinomoto + 2M mẻ nuôi + 2m mắm tôm. Sau đó đun khoảng 10 -15 phút cho sườn mềm. Sau cùng là cho cà chua và đậu hũ vào nấu chín.","Bún trụng ra tô sau đó múc sườn, cà chua, đậu hũ cùng với chuối tiếp theo là chan nước vào tô sau cùng là cho tía tô, lá lốt lên trên",– Cho mẻ ướp cùng với sườn giúp sườn nhanh mềm và thấm vị. – Dùng mỡ heo nước cho vào xào giúp tạo mùi thơm đặc trưng cho món ăn. – Xay nhuyễn chuối giúp tạo độ sệt tự nhiên hấp dẫn cho món ăn.,"chuối, món bún, món đậu hũ dễ làm, sườn non",431,20,8,27,39,https://monngonmoingay.com/wp-content/uploads/2022/04/bun-suon-non-nau-chuoi-dau-880.jpg
374,Mọc đông trứng cút,"Mọc đông trứng cút là món ăn ngon theo kiểu miền Bắc, giúp thay đổi khẩu vị và rất phù hợp trong những ngày se lạnh cuối năm và ngày xuân, đỡ mất thời gian chế biến trong những ngày bận rôn, nhưng vẫn đầy đủ dinh dưỡng.",Món mặn,4 người,40,"Giò sống: 100g, Trứng cút: 4 quả, Da heo tươi: 200g, Bì (da heo luộc cắt sợi): 20g, Cà rốt tỉa hoa, vỏ quýt khô băm nhuyễn, cà rốt băm, hành tím băm, nấm mèo băm, gột gelatine, bột bắp, Hạt nêm Aji-ngon® Heo","– Trứng cút luộc chín, bóc vỏ, lăn qua bột bắp. – Trộn đều giò sống với 1M bì, 1M nấm mèo, 1/2M vỏ quýt, 1M cà rốt, 1m hành tím băm, 1/3m tiêu, sau đó vo tròn như quả tắc rồi cho trứng cút đã lăn qua bột bắp vào giữa, bọc kín lại","– Đun sôi 1/2 lít nước, nêm 1/2m hạt nêm Aji-ngon®, luộc mọc chín, vớt ra ngâm vào nước lạnh, để ráo, cắt đôi. Tiếp tục cho da heo vào nấu lửa nhỏ cho da heo tan, nêm 1/2m hạt nêm Aji-ngon®, 1/2m nước mắm. Vớt da heo để riêng. Tắt bếp. – Pha nước đông: pha 1M bột gelatine với nước nguội, khuấy cho tan đều và cho vào nước luộc da heo nóng. – Bày 4 viên mọc ra tô, xếp cà rốt xen kẽ và chan nước đông lên trên, sau đó để nguội, dùng màng co bao lại, bảo quản ngăn mát tủ lạnh.","Khi dùng úp ngược mọc đông ra dĩa, rắc thêm tiêu, ăn kèm dưa hành ngâm.","– Nếu không dùng da heo, có thể dùng gelatine để tạo độ đông và nước dùng sẽ trong hơn. – Dùng vỏ quýt khô giúp món ăn tăng hương vị và còn là vị thuốc giúp ấm bụng.",trứng cút,184,39,9,16,9,https://monngonmoingay.com/wp-content/uploads/2015/09/Mọc-đông-trứng-cút-540-360.jpg
375,Canh cua rau nhút,"Mang đậm hương vị đồng quê, món canh cua rau nhút đặc biệt này không chỉ ngọt thịt cua, mà còn dậy hương rau nhút, rau muống tươi giòn và khoai sọ dẻo thơm, tạo nên món canh không thể cưỡng lại được. Rau nhút giàu chất xơ, protein kết hợp với cua đồng giàu canxi sẽ giúp gia đình bạn giải nhiệt cơ thể và ngủ ngon hơn đấy!",Món mặn,4 người,45,"Cua đồng 500g, Rau nhút (rau rút) 150g, Rau muống  100g, Khoai sọ nhỏ 150g, Hành tím 20g, Tiêu xay, đường, nước mắm, dầu ăn, Bột ngọt AJI-NO-MOTO®, Hạt nêm Aji-ngon® Heo","– Cua đồng tách mai, lấy gạch để riêng. Giã thân cua, hòa với nước và lọc lấy 1 lít nước cua. 
– Phần gạch cua ướp với 1/4m tiêu và 1/4m hạt nêm Aji-ngon®. 
– Khoai sọ cắt đôi. Rau muống, rau nhút cắt khúc 2cm.","– Đặt nồi lên bếp, cho dầu vào phi thơm hành tím, cho gạch cua vào đảo đều rồi đổ nước cua vào, nêm 1M hạt nêm Aji-ngon®, 1/2m đường, 1/2m bột ngọt AJI-NO-MOTO®. 
– Đun sôi cho váng cua nổi lên. Vớt váng cua ra. Tiếp tục cho khoai sọ vào nấu chín mềm. Cho rau muống, rau nhút vào và nêm thêm 1M nước mắm. Chờ canh sôi trở lại, tắt lửa.","– Múc canh ra tô, dùng nóng.","– Giã cua bằng cối, chày và gạn lấy nước thịt cua để giữ thịt cua không bị vụn, chắc và ngon hơn. 
– Xào trước phần gạch cua để tạo mùi thơm và màu sắc đẹp cho món canh.","canh cua, canh rau nhút",481,17,8,18,29,https://monngonmoingay.com/wp-content/uploads/2017/01/Canh-cua-540.png
376,Bò kho khoai sọ,"Khám phá vị ngon của “bộ đôi” mới với bò và khoai sọ. Thịt bò kho chín mềm, thấm vị, thơm nhẹ mùi rượu vang và ngò gai, kết hợp cùng những viên khoai sọ mềm, dẻo và thơm bùi, đem đến cho cả nhà một món ăn hài hòa và rất lạ miệng. Món ngon này chắc hẳn sẽ khiến bữa ăn của cả nhà thêm thú vị đó!",Món mặn,4 người,35,"Thịt cổ bò    500g, Khoai sọ    400g, Boa-rô cắt khúc 3cm   5 khúc, Ketchup     1M, Rượu vang đỏ    2M, Nước dừa tươi    1lít, Ngò gai, tiêu xay, tỏi băm, bột nghệ, dầu ăn, Bột ngọt AJI-NO-MOTO®, Hạt nêm Aji-ngon® Heo","– Thịt bò cắt miếng vừa ăn, ướp với 1/2m tiêu, 1/2m bột ngọt AJI-NO-MOTO®, 1m tỏi băm, 1m hạt nêm Aji-ngon®, 1M bột nghệ, 1M rượu vang. 
– Khoai sọ luộc chín, bóc vỏ. Cho vào chảo với boa-rô và chút dầu, lăn đều cho vàng thơm.","– Phi thơm tỏi với dầu ăn, cho thịt bò vào xào săn, thêm nước dừa vào vừa ngập thịt, đậy vung, kho lửa nhỏ đến khi nước cạn còn một nửa, cho khoai sọ và boa-rô vào, nêm thêm 1M ketchup, 1M rượu vang đỏ. 
– Tiếp tục kho cho cạn nước còn sền sệt là đươc. Cuối cùng cho ngò gai vào.",– Dùng nóng với cơm.,"– Nên chọn thịt cổ, vai hoặc bên hông sườn vì phần thịt này có nhiều mỡ và gân khi làm món kho sẽ ngon hơn.
– Áp chảo sơ khoai sọ và boa-rô với chút dầu tạo mùi thơm và độ săn cho khoai sọ.","bo kho, khoai sọ",509,25,7,18,15,https://monngonmoingay.com/wp-content/uploads/2017/02/bo-kho-khoai-so-540.png
377,Cua xào cay,"Thực hiện công thức cua xào ngon lành từ Món Ngon Mỗi Ngày, thịt cua không những săn chắc, thấm vị mà còn rất dậy hương vị thơm ngon khi ăn kèm các loại rau củ giòn ngọt. Thêm mùi tỏi và lá húng quế thơm lừng sẽ khiến bạn không thể kiềm lòng được đâu.",Món mặn,4 người,40,"Cua thịt    500g (~ 2 con), Củ cải trắng    1/2 củ, Bí ngòi vàng    1 quả, Hành tây    1/2 củ, Hành boaro    1/2 cây, Ớt sừng     1 trái, Ớt hiểm    1 trái, Tỏi băm    1M, RAU NÊM: Húng quế, ĂN KÈM: Cơm trắng, Đường, muối, ớt bột Hàn Quốc, nước mắm, dầu ăn, Hạt nêm Aji-ngon® Heo, Bột ngọt AJI-NO-MOTO®","– Cua làm sạch tách riêng mai, đập dập càng cua, cắt đôi phần thân. Ướp cua với 1m hạt nêm Aji-ngon®, 1m bột ngọt AJI-NO-MOTO®, 1m đường, 1M nước mắm, 1M ớt bột Hàn Quốc và 1 quả ớt hiểm đập dập. Để cua thấm 15 phút.  
– Củ cải trắng, bí ngòi cắt khối vừa ăn. Hành tây cắt múi cau. Hành boa rô phần trắng cắt xéo, phần lá xanh cắt nhỏ. Ớt sừng cắt xéo. Húng quế cắt khúc 2cm.","– Phi thơm tỏi băm, cho cua vào đảo đều khoảng 5 phút, rồi thêm 1/2 chén nước và củ cải vào xào 5 phút.
– Tiếp theo cho bí ngòi, hành tây, hành boaro, ớt sừng vào nấu đến khi chín tới, nêm thêm 1m hạt nêm Aji-ngon®, cho thêm ít nước. Cuối cùng cho lá boaro và húng quế vào đảo đều, tắt lửa.","– Cho món ăn ra tô, ăn kèm với cơm nóng hoặc bánh mì.","– Cho nước vào từ từ trong lúc xào để thịt cua săn và không bị bở.   
– Lá húng quế tạo hương vị mới lạ cho món ăn.","cua, cua xao, món xào ngon, xào",342,15,5,26,19,https://monngonmoingay.com/wp-content/uploads/2017/06/cua-xao-cay-500.jpg
378,Bánh cua,"Một món ăn khá lạ, có xuất xứ từ vùng biển phía đông nước Mỹ, rất phù hợp với các bé, mang hương vị thơm ngon và nhiều chất dinh dưỡng",Món mặn,4 người,35,"Thịt cua: 200g, Hành tây băm: 1/2 củ, Cà rốt băm: 1/4 củ, Poaro băm: 1/2 cây, Trứng gà: 2 quả, Trứng gà luộc băm: 1 quả, Dưa chuột ngâm chua: 2 trái, Bột mì, bột xù, Nụ bạch hoa ngâm chua: 1M, Muối, tiêu, bơ, dầu ăn, Rượu vang trắng, Hạt nêm Aji-ngon® Heo, Xốt Mayonnaise Aji-mayo® Vị Nguyên Bản","– Trụng sơ thịt cua qua nước với ít rượu trắng. Cà rốt cũng trụng sơ, vớt ra ngâm nước đá. trứng gà đánh tan. – Phi thơm hành tây với bơ, thêm cà rốt, hành boaro và thịt cua vào xào, nêm 1/2m tiêu, 1M rượu trắng và 1/2m hạt nêm Aji-ngon®, trút ra để nguội","– Trộn hỗn hợp trên với 1/2 quả trứng gà, 2M bột xù và 2M xốt Mayonnaise Aji-mayo®, để vài phút cho bột xù thấm nước nở hết tạo độ dẻo. Viên thành từng viên tròn nhỏ, ấn nhẹ cho dẹp xuống thành miếng tròn dẹp đường kính 5cm, dày 1cm. – Tẩm từng miếng bánh cua qua bột mì, nhúng qua trứng rồi lăn qua bột xù, giữ trong ngăn đá tủ lạnh 30 phút. – Chiên bánh cua ngập dầu đến khi chín vàng, vớt ra để ráo dầu. – Trộn xốt nụ bạch hoa: trộn đều 5M xốt Mayonnaise Aji-mayo® với 1M trứng luộc cắt nhỏ, 1/2M dưa chuột ngâm chua và 1m nụ bạch hoa.","Xếp bánh cua ra dĩa, khi ăn chấm với xốt nụ bạch hoa.",– Trộn bột xù vào hỗn hớp thịt cua để bột xù nở hết tạo độ dẻo cho món ăn. – Giữ bánh lạnh trong 30 phút để khi chiên bánh không bị bể.,"cua, món bánh, Nghệ thuật nấu ăn ngon gia đình",514,30,7,15,25,https://monngonmoingay.com/wp-content/uploads/2015/08/AGF_0909-banh-cua.png
379,Gỏi củ hủ dừa bao tử,"Cuối tuần rồi, mẹ làm thử món Gỏi Củ Hũ Dừa Bao Tử đổi vị cho cả nhà nào. Gỏi củ hũ dừa hẳn đã quá quen thuộc bởi hương vị tươi ngon, giòn và ngọt nay được “nâng cấp” với bao tử heo. Thử ngay món mới cho ngày cuối tuần cuối cùng của năm cũ nào mẹ ơi!",Món mặn,4 người,35,"Củ hủ dừa tươi     400g, Cà rốt thái lát mỏng dày 2-3mm   60g, Bao tử heo làm sạch     200g, Tôm sú nhỏ bỏ đầu     15 con, Đâu phộng rang bóc vỏ đập dập   50g, Ớt băm       2M, Hành phi, chanh, gừng, RAU NÊM: rau răm, húng quế, ĂN KÈM: bánh phồng, nước mắm chua ngọt, Gia vị: đường, muối, nước mắm, tương ớt, Bột ngọt AJI-NO-MOTO®, Giấm gạo lên men Ajinomoto","– Củ hủ dừa bào dọc thớ dày 3mm, dài khoảng 7-10cm, sau đó ngâm trong nước đá. – Tôm lấy chỉ lưng. Rau răm, húng quế thái nhỏ. Gừng 1 củ đập dập.","– Luộc tôm: Tôm luộc chín vớt ra ngâm vào nước đá, bỏ đầu, bóc vỏ chừa đuôi. – Luộc bao tử: đun sôi nước, cho 1M nước mắm và 1 nhánh gừng đập dập vào luộc chín trong 30′, vớt ra ngâm vào nước đá rồi để ráo, sau đó cắt sợi. – Pha xốt trộn: Cho 1M nước cốt chanh, 4M đường, 1M nước mắm, 2M Giấm gạo lên men của Ajinomoto, 1.5m muối, 1m Bột ngọt AJI-NO-MO-TO®, 2M ớt sừng băm vào tô, khuấy đều cho tan đường, thêm 1/2M tương ớt. – Trộn gỏi: cho 2M xốt trộn vào tôm và bao tử ướp từ 5-7′. Cho củ hũ dừa, cà rốt vào tô, thêm 4M xốt vào trộn đều, sau đó cho tôm, bao tử, rau răm, húng quế, đậu phộng, hành phi vào trộn đều để ráo nước.","– Bày gỏi ra dĩa, trang trí rau răm, húng quế lên trên ăn kèm bánh phồng và nước mắm chua ngọt",– Củ hủ dừa ngâm vào nước đá giúp củ hủ dừa trắng hơn,"bao tử, củ hũ dừa, gỏi củ hủ dùa",541,21,4,20,19,https://monngonmoingay.com/wp-content/uploads/2019/02/goi-cu-hu-dua-bao-tu-500.jpg
380,Thịt ba rọi nướng lá chanh,"Thịt ba rọi chín mềm, thấm gia vị với vị ngọt của thịt và lá chanh thơm lừng sẽ là món ngon để cả nhà cùng đổi vị cho bữa cơm gia đình. Thêm chút nước xốt thơm mùi kiệu chua, đây cũng có thể là món “nhậu” nhâm nhi cho nhóm bạn hàn thuyên cuối tuần đó!",Món mặn,4 người,30,"Thịt ba rọi    600g, Lá chanh     10 lá, Sả bào     2M, Ớt hiểm cắt nhỏ   1M, Hành tím cát lát   3M, Tỏi cô đơn cắt lát   3M, Kiệu chua cắt sợi    2M, Lá chanh cắt nhuyễn, Ăn kèm: dưa leo, cà rốt, đu đủ bóp chua rau rừng, bánh tráng phơi sương, Dầu ăn, nước mắm, mật ong, đường, Bột ngọt AJI-NO-MOTO®, Nước tương ""Phú Sĩ""","–  Thịt ba rọi khứa nhẹ phần da, chia làm bốn miếng, mỗi miếng cắt đôi theo chiều dọc, giữ nguyên phần da không cắt rời. Cắt nhỏ 1/2 lượng lá chanh. 
–  Cho lá chanh cắt nhỏ, sả bào, ớt, hành tím, tỏi, 1M bột ngọt AJI-NO-MOTO® vào cối giã nhuyễn, cho vào 1M mật ong, 1M dầu ăn, 4M nước mắm vào khuấy đều.
– Dùng hỗn hợp này ướp thịt, thoa đều xốt lên thịt. Phần xốt còn lại cho vào giữa miếng thịt kẹp lại để 20 phút cho thịt thấm gia vị. 
– Khuấy xốt chấm kèm: Khuấy đều 1M đường, 4M nước tương “Phú Sĩ”, 2M nước lọc, cho 2M kiệu chua vào.","–  Đặt hai miếng lá chuối lên khay nướng, xếp phần lá chanh còn lại lên, sau đó xếp thịt ba rọi rồi cho vào lò nướng, nướng ở nhiệt độ 220 độ C trong 20 phút. Thỉnh thoảng trở đều để thịt chín vàng hai mặt.","– Cắt thịt ba rọi ra thành miếng nhỏ, cuộn kèm bánh tráng phơi sương, rau rừng, dưa leo, cà rốt và đu đủ bóp chua, chấm kèm nước tương pha.","–  Cho xốt vào giữa miếng thịt để khi nướng thịt chín đều thấm gia vị và không bị khô. 
–  Giã nhuyễn các nguyên liệu ướp thịt để khi nướng thịt chín sẽ thơm hơn và không bị cháy.","la chanh, thit ba roi, thịt nướng",267,17,10,30,39,https://monngonmoingay.com/wp-content/uploads/2017/03/2-540.jpg
